"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\App.tsx", "TypeScript JSX", 16, 0, 0, 0, 3, 19
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\components\MostrarTablaConDatos.tsx", "TypeScript JSX", 33, 0, 0, 0, 3, 36
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\components\TablaDeContigencia.tsx", "TypeScript JSX", 6, 0, 0, 0, 3, 9
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\helpers\chiCuadradoDatosTabla.ts", "TypeScript", 0, 0, 7, 0, 0, 7
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\pages\HomePage.tsx", "TypeScript JSX", 10, 0, 0, 0, 3, 13
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\pages\PutDataManually.tsx", "TypeScript JSX", 446, 0, 0, 108, 13, 567
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\pages\ReadExcelFile.tsx", "TypeScript JSX", 323, 0, 0, 305, 3, 631
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\index.css", "CSS", 0, 12, 0, 0, 2, 14
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\main.tsx", "TypeScript JSX", 15, 0, 0, 0, 2, 17
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 849, 12, 7, 414, 33, 1315
